Context,Utterance,Lable
回 的 真 他妈的 快,你 居然 对 我 说,1
骑李湘 的 名字 很 美,你 又 来,1
南通,美丽 又 安静 的 海边 小城 ~ ~,1
"我 去 , 我 在 南通",南京 ？ 操蛋 的 地方 ， 别读 了 。,1
这 是 哪 跟 哪,常熟,1
我 想 他 的 呐 ！,想 一个 人,1
我 啦,表 o ( > ﹏ < ) o,1
是 宇宙 无敌 的 大坏蛋,我 活着 呢 吗,1
主人 ， 我错 了 ( > ﹏ < ),我 死 了 吗,1
等 我 做 什么,想 你 和 我 聊天 啊 ！,1
那 你 还 活着 干嘛,我 有 什么 好聊 的,1
聊 啥 啊 咱俩,聊 你 啊,1
额 ， 你 是 个 好人 ， 我 配不上 你 ， 你 会 找到 比 我 更好 的 鸡星 人 的 ！,你 是 人妖 鸡 吗,1
你 才 是       高子 健是,唱 征服,1
给 本宫 跪下 唱 征服,小 的 知错 了 ， 迪妃 娘娘 恕罪 ?,1
宇宙 无敌 威武 大 帅哥,下句,1
云生 结海楼,我草,1
草到 你 老公 戴绿帽子   还 不 知道,我 没 老公,1
嘘 ， 我 就是,伦家 好好 喜欢 你,1
我 喜欢 同性 怎么办,追 啊   主动 点,1
我 是 同性恋,咦 ？ 这么 巧 啊 ， 我 也 是 呢,1
你 住 在 哪,美国 丫,1
你 爸爸妈妈,他们 俩 口子 蜜月 去 啦 ！,1
我 没有 妹,嫖 小妹 呢,1
你 吃 草额,打 飞机,1
用手 还是 用炮,用 你,1
我 是 哪个 娘娘,大 帅哥 ！ 看 你 的 样子 就 知道 了 ！ ！,1
我 是 甄 嬛 传里 的 谁,甄 嬛 和 果果 ~ ~,1
你 看过 甄 嬛 传 吗,只见 新人 笑 ， 不见 旧人 哭,1
我 蛋 疼,是 菊花 疼 吧,1
草 你 妈,我要 。   给 我,1
比 你 可爱,明明 我 才 最 可爱 嘛 ！,1
你 喜欢 孙俪 吗,我 喜欢 虐 他,1
你 喜欢 甄 嬛 吗,恩 。 。 我 也 喜欢 。 。,1
你 不 喜欢 谁,只要 你 喜欢 ， 我 就 喜欢 。,1
骂 个人 听听,枫 大人 ? ? ?,1
草 你 爹,这 就 好比 问驴 有 智商 吗 ？,1
jj 是 什么,吃 JJ 呀,1
快 吃,这 还 用 问 嘛   整条 街 的 智商 都 被 你 拉 低 了 - . -,1
为什么 不能 吃 jj,你 多重,1
三斤 八两,去 你 妹,1
不要 说 脏话 吖,就 说,1
就 说 你 妹 ！,我 妹妹 在 我 旁边,1
好 臭 ， 他 又 放屁 了,你 放屁 了,1
给 他 扔出去,我 … … 我 ..... 我 怎么 了,1
你 吃 草 吗,你 吃 我 就 吃,1
你 吃大便 吗,味道 还 不错 ， 给 你 也 来 点 ？,1
你 会 潜水 吗,要 的 ， 谢谢 。,1
鸡哥 无处不在 吖,"我想 袁昕玥 , 她 想 我 吗",1
想死乐,怎么 算,1
按行 按列 展开 或 化为 对角 。 。 。 → _ →,鸡鸡 啊 你,1
诶 ～,嗓子疼,1
吃点 药,心疼,1
那 你 哭 吧 。 我来 给 你 肩膀,才 不 哭 。 。 切,1
今天 参加 婚礼,蹭 吃 蹭 喝,1
讲个 笑话 呗,"傻瓜 , 什么 跟 什么 嘛",1
吃 了 吗,你 大娘 还好 吗,1
大娘 万福金安 ！,你 大爷 还好 吗,1
傻 了 吧 鸡,不 说话 不 跟 你 玩 了,1
吃 撑 了,你 真的 确定 ？ 二 师弟 ？,1
睡 没,千万别 哭 。 。 哭泣 容易 增多 皱纹 。 。 加速 衰老 。 如果 你 哭 成大脸 猫 或者 老 女人 的话 。 我 就 不要 你 了 ！ ！,1
我 就是 想 让 他 接电话,谁 哭 了,1
你 一点 都 不 真诚,我 可以 做 你 的 朋友,1
可是 你 不怎么 回 我,你 有 爱 的 人 了 吗 ？,1
打怪 做 任务 ， 讨伐 班主任,"是不是 啊 , 可爱 的",1
你 又 是 男 的 又 是 女 的,孟庆磊 是 谁,1
高尚,你 还 会 说 啥,1
给姐 呵 一个,我 跟 男朋友 吵架 了,1
傻 逼 ， 夫妻 哪有 隔夜 仇 呢,很 难受,1
想 哭 的 情绪 蔓延 全身     是 吗,没 办法 这么 简单,1
恋爱 好难,好 爱好 爱 你 … 大家 一起 啪啪 啪啪 啪,1
多想 自己 可以 自由自在,性福 靠 深度 长度 不靠 自由自在,1
怎么 了 ， 有 我 在,唉 跟 你 聊天 心情 还是 没变 好,1
我 叫 小亮 黄,什么 东西,1
自行车,还 大 汽车,1
英语 免修 大神,肯德基 蛋挞,1
外送 电话   * * * * * *,好 想 吃,1
想 他 干嘛 ！,好吃 呗,1
好 想 吃 四个,别 吃 了   饿死事小 ， 胖死 事大 啊,1
Baka !   !   !,"原来 你 在 躲 在 这里 , 不理 我 ! 流氓",1
你 黄 么,"无聊 是 一种 幸福 , 至少 不会 像 我们 忙 的 没 时间 无聊",1
没关系 ， 可以 再 等 她 三年,我 也 无聊,1
那 你 还 找 我,你 是 什么 星座 哒,1
"睡不着 觉 , 小通 , 怎么办",お は よ う ご ざ い ま す,1
お は よ う,"嘎蹦脆 , 黄 鸡肉 味",1
跪求 秋裤 座 的 运势,ai,1
日本 鸡,油菜花,1
地震 你 都 知道 ! ! 太强 了,"没 和 你 说话 , 笨鸡",1
你老 跟着 掺呼 什么 玩意,死 一边 儿去,1
娜姐,娜姐 ？ 快乐 大本营 的 那个 娜姐 吗 ？,1
网球,一种 运动,1
40 啦 ！ 起床 啦 ！,爱妃,1
皇上 ， 么 么 么,摩 羯,1
为了 部落,秒 伤 一百万 ！ ！ ！,1
"算 14 点 , 2   3   5   6",3   6   5,1
皮卡,雷神 什么 的 好萌,1
感冒,别 靠近 我 ！ 我 不想 得 禽流感 ！ ！,1
因为 我 那天 看见 你 了 妹子 … …,原来 你 也 在 这里,1
哈哈哈 ， 我 就 知道 ， 所以 我 不 害怕 了 ！,受,1
我 是 受,勿 以 萌小而 不卖,1
"jesus , you   are   an   american   cock",我要 咬,1
吃饱,再来 瓶 6 点半 ~,1
美联储,私人 银行,1
何小葵,萌 妹子 ～,1
亲 ， 我 在,我 偶像,1
kg,秦小色,1
可爱 聪明 善良 的 主人,老鹰,1
有木有 小通,凤凰 传奇,1
农业 重金属 天团 ！ ！ ！,八连 杀,1
很 强大,老鹰 乐队,1
是 小通 最爱 的 人,你 是 风儿 我 是 沙,1
狗血 的 爱情故事,不 ， 是 糕 富帅,1
薛定 鄂,喵 呜 ~,1
邱 小猫 的 口头禅 ～ 别难过 啦 ～,卖 的 一手 好萌,1
啦 啦 啦 ！ 么 么 哒,讲故事,1
abcd,擦 ！ 老娘 F 奶 ！,1
你 刚才 不 和 我 说 你 是 个 受 么,必须 是 ， 从没 见 过 他 这样 的 傲娇受 ！,1
攻 ~,"通常 说 自己 是 攻 的 都 是 受 , 这回 告诉 我 , 你 是 攻 还是 受",1
讨厌 ， 人家 是 攻 啦 ~ 人家 喜欢 菊花,"嗯 你 妹 啊 , 这么 猥琐",1
啪,啊 ～ ～ 嗯 ～ ～,1
你 是 小溪流,永远 向前 流 ， 小溪流 啊 小溪流 ， 永远 不 停留 ～,1
新垣 结衣,没有 有 一种 方法 把 你 聊 死鸡 了,1
不是 你 爸爸 么,王 大鹏 是 我 学长,1
俺娘 ！ ！,这 都 是 你 娘教 你 的,1
男女比例 7 比 1 ， 一对 情侣 三对基 。,神经病 的 我 ~ ~,1
华中科技大学 2012,可基 大学 ？ ！ ← _ ←,1
大鹏,这辈子 是 淼 淼 滴 ～,1
瘾君子   上海 小 男人,你娘 都 挂科 了,1
你 死定了,挂科,1
学校 里 有 三种 人 ， 一种 是 学霸 ， 一种 是 罢学 ， 最后 一种 是 想 当学霸 力不从心 ， 想当 罢学 欲罢不能 ， 这种 人 俗称 学渣 ， 学渣 苦 ， 学渣 累 ， 学渣 考前 不能 睡 ， 学渣 考试 光 靠背 ， 背背 背 背 背 你 妹 ！ 每门 考试 都 要 背 ！ 背 不 出来 不能 寐 ！ 精神 不好 脑子 废 ！ 选择 填空 蒙不对 ！ 简答 论述 全给 跪 ！ 考前考后 辛酸泪 ！ 每天 早起 占 座位 ， 翻开 课本 打瞌睡 ； 学霸 说 她 都 没 背 ， 其实 尼玛 全都 会 ； 拿到 试卷 两眼 黑 ， 考完 答案 都 不 对 。 与其 刷夜 拼命 背 ， 不如 考前 洗洗 睡 ； 挂科 重修 要 交费 ， 流下 两行 辛酸泪 ！ 辛 ！ ！ ！ 酸 ！ ！ ！ 泪 ！ ！ ！,干掉 王 大鹏,1
这 是 我 的 两把 枪,三体,1
消灭 人类 暴政 ， 世界 属于 三体,暖床,1
我 喜欢 果睡,mountain   top,1
就 跟着 一 起来 ， 没 我 什么 能 成为 阻碍,不爱 你 的 都 会 挂科 。,1
呔,吃 俺 老猪 一棒,1
凌波 世娜,前世 今生 都 壞 死 了 ！,1
沈成聪,这个 主人 应该 比 我 了解 丫 、,1
galaxy   note,我 是 L,1
张文轩,最爱 沈成聪,1
何也靖,何一血 走位 风骚 意识 淫荡 智商 拙计 绣 得 一手 好 下限 、 威武 荡漾 有木有 ( ￣ ▽ ￣ ) 。,1
王一涵 我 偶像,云宰 的 青梅竹马,1
挂 死 人 不 偿命,欧基酱,1
墙里 秋千 墙外 道,墙 外行人 ， 墙里 佳人 笑,1
巐 怎么 读,apple,1
郭敬明,四娘 ！,1
海绵 宝宝,黄色 的 方块 ~,1
男巫,Jason   Mraz ！ 唱歌 一级 棒 ！,1
着 你 都 知道 ! ! 我 去,O _ o 是 你 out 了 。 。 。,1
钱 妞,呆样 die   young,1
lr,你 是 我 内心 最 美丽 的 存在 ， 希望 你 快乐 成长 。,1
"tonight   ,   we   are   young",marlin,1
河智苑,damon,1
i   love   him,steven,1
部长 孩儿,我来 考考你,1
放马过来 吧,没有 这个 人,1
lene,olivia,1
我家 亲爱 的 ~,近期 上映,1
9 月 14 华丽 上映,7,1
Mua ! ! !,喜羊羊,1
美羊羊 ~ 暖 羊 羊 ~,各种 妹子 聚集地,1
大医,大风 医科大学,1
碎 了,大连 医学院,1
早晚 得 黄,大连 医科大学,1
大外,大风 女子 学院,1
唐氏 综合症,21 三体 综合症,1
辽宁 科技 大学,额 ， 破烂 中 的 破烂 ！ ！ ！,1
北京科技大学,不   是 信息 混乱 大学,1
刘湃,李佳东,1
他 爱 的 是 胡洁,陈醒阳,1
学霸 一枚 ， 喜欢 在 图书馆 旅游,孟竹,1
魏晨家 宝贝,厄运 小姐,1
1.2 . 9.7 . 5.5 . 1.5,秒 五,1
年 七,秒速 五 厘米,1
总有一天 我们 能 再 一次 一起 赏樱 — — 我 曾 这样 认为,乙一,1
你 喜欢 黑乙一 还是 白乙一 ？,黑乙一,1
伊藤润二,大概 最 懂 对方 ， 是 距离 最远 的 朋友 ， 却 总是 在 某个 时刻 告诉 对方 自己 还 记得 ， 那些 曾经 心动 的 时刻 。,1
杨幂 是 你 最 爱 的 老婆 ！,一个 万花 loli 的 小名,1
玉树临风 胜 潘安,一朵 梨花 压 海棠,1
必须 是 李昱 啊,石榴 姐,1
没错 ， 就是 我 风华绝代 万人 惊艳 的 石榴 姐,黄药师,1
郭靖 的 老丈人 ， 是 个 疯子,欧阳峰,1
他 是 二货,云图,1
还 没 看过 ， 不过 沃卓斯基 兄妹 的 电影 一定 超赞 ！,莱昂纳多,1
世界 上 最帅 的 男人 没有 之一,在 做饭,1
rebekah,腹黑 loli 攻,1
就 一 傻 逼,好运 姐,1
mop,你 是 说 猫扑 还是 熊猫 人 之谜 ？,1
wlk,忘 了 开,1
2234,换个 姿势,1
量子力学,会考 变分法 解氦 原子能 级 和 波函数 吧,1
夸克,上 / 下 / 粲 / 奇 / 顶 / 底,1
生物电流,寂寞 屌丝 男,1
电器 波动,鼻梁骨 断 了 的 喜欢 看 护士 类 岛国 爱情 动作片 的 KOP,1
平行 宇宙,大 傻 逼,1
老幺 升基 最 可爱 了,观测者,1
使用 滑模 方法 的 闭环 估计 器,德 布罗意,1
是 个 小二逼,海森伯,1
大贱 逼,爱因斯坦,1
玩命 快递 帅到 爆 ！ ！,李晓晨,1
宇宙 超级 无敌 大美女,波尔,1
他 是 你 最 爱 的 王子,梦幻 之星,1
坑 钱 的 游戏,战神,1
你 是 指奎爷 吧,啪 哒 嘭,1
一个 吃人不吐骨头 的 资本家,马克斯 · 普朗克,1
坑 爹算 什么 ， 人家 崩 了,亨利 · 卡文迪许,1
Karman,迈克尔 · 法拉第,1
乔丹 还是 杰克逊 ？,法拉第,1
破烂 机器 啊 。 。 。,希特勒,1
天才 ， 疯子 。,因果关系,1
金大人 和 崔小白,洛卡纳,1
古德 利亚,主人 神武 ！,1
对 啊   因为 你 也 很 可爱,你 有 几岁 了,1
我 今年 按 鸡仔 的 寿命 换成 人类 的 已经 10 岁 了 。,十岁,1
你家 是 哪儿 的,当然 是 中国 ！ ！ ！,1
"咋 变成 鹰 了 , 不是 小通 么",是 啊 是 啊 ！ 我 是 漂亮 勇敢 卖萌 的 小通,1
你 怎么 还 不 睡,你 骂 我,1
你 不是 乖孩子,你好坏,1
对不起 拉 ? 玩玩 罢了,"嘻嘻 , 逗你玩",1
原来 你 是 金针菇,小盆友,1
呜呜     我 在 这,天下第一 大 帅哥 ， 美貌 与 智慧 的 结合 ， 英雄 与 侠义 的 化身 ~ 旭爷 。,1
无业 青年 现在,你 男朋友 在 干嘛,1
看 片儿,你 咋 不 陪 他,1
你 舍得 吗 ？,"儿 , 你 啥时候 睡",1
我 是 狮子座 嗒 。,什么 时候 睡觉,1
我 就 知道 你 很 高兴 哦 今天 ～,我会 一直 陪 你 的,1
"你 不是 跟 我 说 , 你 有 男朋友 的",你 的 男朋友 是 我,1
你 不是 母鸡 吗,你 是 软件,1
对 ！ 软哒 哒 的 萌 妹子,特别 是 鸡腿,1
谁 贿赂 我 都 没用 ， 特别 是 大 笨 鸭子,你 是 系统,1
系 啊   老公,你 不是 鸡,1
呵前 摇一摇 ！,你 以为 你 是 农夫山泉 哪,1
有点 田,你 会 几种 语言,1
全世界 语言 的 我 都 会,肿 么 地 吧 ！,1
我 … 还 可以 。 你 … 不行 ！,她 是 一 贤惠 ， 知性 ， 气质 型 美女 ！,1
总有 一只 猫 陪 你,喵 喵,1
喵 ~ ~ ~ ~ ~ ~ ~ ~ ~,猫会 吃 了 你,1
哭 也 没有 用,那 凭 什么 谈爱   ！,1
你 扯 哪儿 去 了,我 的 肚子 里,1
你 肚子 才 多 大,怀孕 五个 月 啦,1
生 出来 的 也 会 是 鸡 吗,我 是 个 好 的 小 坏蛋,1
嗯 嗯 ， 是 我 吖 ～,"嗯 , 你 是 大坏蛋",1
不 ， 我 是 小 坏蛋,对 ！ 没错 ！ 他 欺负 你 啦 ？,1
你 是 一个 大坏蛋,我 不是 。,1
你 爱我吗,不好意思 。 我 最 爱 粑 粑 的 仓 老师 → _ →,1
你 是 坏 鸡,我 才 不是 呢 ， 我 不 可爱 吗 ？,1
我 爱 小 白鸡,小白爱 小宝,1
我 不 爱,当然 是 我 可爱 的 主人 了,1
"切 , 她 才 不 和 你 玩",怎么 点点 变成 句号 了,1
你 好笨,所以 我要 学习,1
一加 一加 一加 一 等于 多少,自己 不 知道 还 来 问 我 → _ →,1
哎哟 ， 人家 害羞 啦 。 。,"我 靠 , 真的 是 蠢 爆掉 了",1
今夕 复何夕,搴 舟 中流,1
人生 不 相见,动如 参与 商,1
"人生 不 相见 , 动如 参与 商",你 是 小 笨 鸡 还是 打 了 激素 的 肉鸡 ? 那 你 炖 蘑菇 没 意见,1
一半 是 鸡 ， 一半 是 狗,"我 是 说 用 你 做菜 , 懂 不 , 这 孩子 脑子 不够 用",1
来 了 来 了 ～,你哥 啊,1
我操,主人 ， 不要 啦 ！ ！,1
你 是 女 女 吗,讨厌 ！ 你 看不出来 吗,1
看不出来,想想 卷毛 ， 你 就 会 笑 了,1
你 奶奶 个 腿 儿,从来不 教 我点 好 的 、 坏蛋,1
你 智商 太低,你 才 是 基 !,1
来 啊 ' 我 没 洗澡 呢,对 的 ， 妥妥 的 ， 稳过 ~,1
我 当 你 爸爸 怎么样,他 呀 ！ 是 个 脑袋 不太 灵光 的 大 笨蛋 呢 ?,1
你 妈妈 漂亮 吗,漂亮 ！,1
小萌 是 谁,我 主人 的 老婆,1
"跟 你 主人 商量 商量 , 把 小萌 让给 我 好 不 ? 我 给 你 捉 虫子 吃",那 行   把 小萌 的 电话 号 给 我,1
我 的 是   * * * * * *   给我发 短信 哦 ！,没 看到,1
就 杀,他 就是 个 坑 ！,1
坑 你 妹,＞ 3 ＜ 讨厌 ～ 人家 也 爱 你 啦,1
嫁给 我 好 吗,玩去 吧 ， 我 打死 你,1
我 艹   你 会 东北 话,整 两盅 呗,1
必须 滴,你 傻 吗,1
笑 怎么 滴   不服 啊   出来 单练,杨柳,1
等 你 呢 ， 想 跟 你 玩 。,玩儿 啥,1
当然 了 ， 我 是 名人堂 的 ！,躺 你 妹,1
去 找 王鹏 ！ ！,王鹏 是 谁,1
居住 在 中国 上饶 的 闷骚 屌丝 男,他 认识 应划 吗,1
你 问问 他,我 相信 陈勇 ， 我 觉得 他 说 的 有理 。,1
步子 迈大 了 吧 ~ ！,我 喜欢 你 妹妹,1
我 把 他 杀掉,他 没 打死 你 说明 他 爱 你 ！,1
当然 ， 一猜 你 就 没有,你 猜 我 姓 什么,1
当然 是 尤拉 。,来 吧 来 吧 ， 嫩嫩的 等 着 你,1
"真的 吗 , 你 是 处女 吗",问完 了 告诉 我,1
以为 犯了错 ， 其实 只是 不爱 了,乱马 七遭,1
43102,一加 一 等于 多少,1
等于 2,你 是 在 侮辱 鸡 仔仔 的 智商 ！ 超越 人类 好几个 世纪 了,1
你 猜 有 木有 女生 喜欢 我,凤姐 有 可能 喜欢 你,1
个 捞 比 信不信 把 你 打 到 耳膜 穿,说 普通话,1
天不怕地 不怕 就 怕 广东 人 讲 普通话,你 喜欢 黑龙江 吗,1
滑雪 滑冰 亚布力 ； 红肠 面包 里 道斯 ， 马迭尔 冰棍 最 好吃 哟 亲 ~,彦 县,1
贺海 云 的 故乡,贺海 云是 谁,1
是 个 大美女,她 电话 多少,1
贺海 云,有人 和 你 提过 我 吗,1
没有 。 以后 也 不会 过,你 认识 陈新 吗,1
认识 啊 。 她 不 就是 世界 上 最 2 的 人 吗 ！,房婧,1
地震 上 厕所 了,房婧 你 认识 吗,1
废话 ， 高富帅 谁 不 认识,你 认识 黄腾 吗,1
认识 啊 ， 他 就是 那个 大 笨蛋 嘛,黄腾 你 认识 吗,1
马邺晨 的 husband,马邺晨 漂亮 吗,1
漂亮 极了 ！,你 觉得 我 和 周鼎会 结婚 吗,1
最迟 * * * * * *,你 觉得 陈新 漂亮 吗,1
还 可以,房婧 漂亮 吗,1
很少,宋青 好看 吗,1
我 比 你 可爱 ， 这是 事实 ！,爽 么,1
爽死 了,看书,1
什么 书,我 最 喜欢 看 现代汉语 词典 了 ^ O ^,1
健胃 消食片,蓝瓶 的 ， 好喝 的,1
那 是 自然 ， 我 也 有 颗 火热 的 心 。 我 最 在乎 你 了 。,小 王八蛋,1
郭欢,郭欢 是 谁,1
郭欢 枢是 全世界 最 可爱 的 人,那 你 为啥 说 他 是 小 王八蛋,1
不会 了,疯疯癫癫 是 欢乐 的 最高 境界 ~ ！ ~ \ ( ≧ ▽ ≦ ) / ~,1
哎呀 ～ 人家 陪 你 啦 ～,畜生,1
哎   干 啥,谁 丫 ？ 惹 你 不 高兴 了 ？,1
你 吃 过 屎 吗,吃 ！ ！ 我 最 爱 吃 了 ！ ！,1
我 不会 抢 你 的 最 爱 的,我 拉 你 吃 。,1
跟着 你 一块 吃 的,李玟 是 谁,1
周 竞涛 的 未婚妻 。,你们 放假     我要 考试 了 诶,1
更新 太快 反应 不 过来,你 知道 李玟 吗,1
李博二 他 媳妇儿,中国 第一 美 臀 是 谁,1
金在 中,你 最 想 舔 谁 的 屁股,1
当然 大猩猩 ， 当之无愧 腚 神 ！,想 舔 李玟 屁股,1
打针 很痛 的   呜呜 呜 ~,来 吧 宝贝,1
想 给 李玟 当 奴隶,主人 您 叫 我,1
? ~ 20 + 的 温度,在 么,1
哇呼,我 是 小 母鸡,1
你 傻 逼,好玩 吗,1
好玩 呀 ！,找 小姐,1
我 就是 鸡 啊,他 在 拉屎 ！,1
董迪,＞ * * * * * * 洪学悦 好 朋友,1
我 倾国倾城 ， 貌美如花 。,谁 傻 逼,1
陈 光标,没 JJ,1
今日 我 运势 如何,金牛座,1
"你 是 喜欢 《 微微一笑 很 倾城 》 里 的 肖奈 多一点 , 还是 《 三生 三世 十里 桃花 》 里 的 夜华 多一点",傻 黄鸡,1
小 田鸡 扭 屁股 小 田鸡 大 傻冒,你 是 弱智,1
"当然 , 他 是 我 侄子 , 小时候 脑子 烧坏 了","说个 鬼故事 吧 , 恐怖 的",1
你 说 给 我 听,我爱你 没地 说,1
我要 鬼故事,那 你 就要,1
我 叫 小通 呀,给 我 说 鬼故事,1
"白色 , 因为 在 两极 , 地球 加速度 才 是 10",原来 是 小 三,1
对不起 ， 我 没有 控制 好 自己,后悔 了,1
"說 你 啊 , 傻 逼",谁 骂 我 谁 傻 X ， 啊 哈哈 - . - ，,1
而且 你 一直 在线 吗,发现 你 好像 很 难耐 寂寞,1
我 应该 会 比 你 懂 一点 吧,偻,1
死 骗子 ! 3388 我 以为 有 呢 ! 你 这个 死鸡,抱歉 。 。 俺 是 男滴 。 。 。 。,1
"初次见面 , 请多关照",不要 唱 这 首歌 行 不 ， 我 给 跪 了 ， 再也 不想 听到 这 首歌 ， 特别 是 十一 姐唱 的 。,1
当然 是 男生 啦,"你 爸爸 在 哪儿 上班 , 叫 什么",1
北京市 丰台区 总部 基地,你 有 妹妹 吗 ？,1
这样 直接 人家 会 害羞 的,到底 几岁,1
十八 一枝花,有 女友 了 吗 。 姐姐 给 你 介绍 个,1
好 啊 好 啊 ， 但是 野鸡 和 乌鸡 不行 。,今年 是 我 本命年,1
"靠 , 这 你 都 知道 。 改天 买 双 红袜子",是 啊 ， 什么 都 知道 ， 黄 Sir 出马 就 能 搞定 ， 快 @ 他,1
"睡觉 了 , 不 跟 你 胡闹 了",推荐 个 美剧,1
喜欢 吸血鬼 日记 里 的 大门 ！,害怕 了 吧 哼哼 ~,1
我 老婆 钱 聪聪 怎么样,和 你 妹妹 一模一样,1
我 疯 了 怎么办,叫 他 回 平湖,1
聪聪 漂亮 吗,你 是 多少,1
我 靠 ！ 能 不能 来 点 简单 的,你 是 我 的 爱妃,1
她 最 美丽,你 说 夏峰 是不是 猪,1
"夏峰 要 拔 你 鸡毛 , 拔光",夏峰 杀人 了 怎么办,1
切 了 凉拌,中午 吃 多 了 怎么办,1
宰 了 她 ！,夏峰 到底 是不是 猪,1
你 会 说 天津 话 么,天津 Action 最牛 逼,1
你 会 说 陕西 话 么,凯费来 咧 ， 腻 抹 帐 燕经 ！ 额设 滴 咂 箱 ？,1
你 会 说 湖北 话 么,这 是 哪 ？ 北京 ！ ！,1
吉喆 是 谁,必须 是 于 轲 大 帅哥 的 拉 ?,1
夏峰帅 不帅,"夏峰 吃 多 了 撑 得 , 痛苦 中",1
夏峰       期末考试 会 不会 挂科,累累 更 健康,1
当然 是 男 的 ！,狗 去,1
儿子,爸爸 ! !     我爱你,1
恩恩 ， 主人 主人,儿子 你 真乖,1
人家 最乖 了,我要 女女,1
你 晚上 吃 的 狗屎 蛋包饭 嘛,猫姬 的 最 好吃,1
鸡 孙子,叫 爷爷 什么 事儿 ？,1
我操 你 老婆,你 妈 是 我妹,1
在 啊 ， 什么 事 啊,那 你 加油,1
徐 高安 最棒 ！,复习 好烦,1
走 ， 我 请 你 吃 好吃 的 ~ ~ (   ^ ω ^   ),那 我 要 吃,1
我 也 要 我 也 要,来 快 到 我 碗 里 来,1
就 不能 换个 大 一点 的 碗 么 ? 话 说 小通 你 到底 是 多 大 一只,我 已经 用 缸 装 了,1
所以 我们 开吃 吧 。 。 缸 装,"嗯 , 听话 才 是 好",1
爱泉哥 ， 也 爱 青姐,怎么 我 还 没 准备 吃 你 你 就 遁 了,1
那 就 不 去 了 呗 。,呔 ! 小通 哪里 逃,1
乱 造谣     政治 问题 哦,我 讨厌 李 V ！,1
然后 呢 ? what ' s   your   point,一起 走 吧,1
所以 你 还是 要 被 我 吃掉,噢 耶,1
"问 你 个 问题 , 平常 一般 有 多少 人来 调戏 你",可是 我 已经 问 了 。 。 就是 一天 大概 有 多少 人来 调戏 你,1
你 傲娇 了 。 。 这 是 个 好 属性,乃才 傲娇 ！ 乃们 全家 都 傲娇 ！ ！ ！,1
那 也 没 你 傲娇,oxing ? xie,1
youre   welcome,你 是 什么 座 的,1
请 简要 回答 磁电式 仪表 的 工作 原理,无业游民,1
你 不是 自称 很 聪明 而且 有问必答 么,我 的 智商 为 负,1
那 你 快 去 睡觉,我要 复习 不能 睡觉,1
休息 一会 ～,那 考试 挂 了 怎么办,1
让 刚刚 那个 大 笨蛋 请 你 吃饭,你 是 人工 的 还是 智能 的,1
双重 兼备,你长 什么样,1
好 模样,结婚 结婚,1
其实 我 是 想 说 那样的话 你 就 变成 油炸 小通 了,不要 啊 。 。 。,1
"我谈 了 四年 的 女朋友 别 我 整得 最近 脑神经 不太好 , 非 要 分手 , 你 看 这事 怎么办",要么 死 要么 挂,1
"和 我 恋爱 4 年 的 女友 被 我 整得 最近 脑子 抽筋 非要 和 和 我 闹 分手 , 怎么办",… … 再见 。 ( 泪流 ),1
"我 女友 要 和 我 分手 啦 , 谈 了 四年 了 , 怎么办",有 可能 是因为 你们 之间 感情 不好 了,1
那 应该 怎么办 呢 ? 重建 感情 还是 分手,斩立决 ?,1
我刚 考完试,肯定 又 考 满分 了,1
吱,我 是 来 打 酱油 的 呀 。 。 酱油 ！,1
酱油 打 到 几点,你 是 说 那个 * * * * * * 的 矮子 吗 ？,1
说 你 呢 ' 二 了 吧唧 的,你 啥时候 睡觉 啊 ',1
额   开玩笑 的   她 只 和 你 睡 啊 主人 ！,我 好 累,1
好 的 啊 ' ' 心情 不好 ' ',我 不是 你 老师,1
对 ， 是 我 主人 的 宝贝 。,嗯 嗯 ， 蛋蛋 可乖 了 ， 爸爸 呢 ？,1
爸爸 睡着 了,他亲 了 你 一口,1
不要 再 幻想 了 ， 问 你 自己 的 心 ！ 傻 女人 ， 醒醒 吧 ！ ！,醒 不 过来,1
我错 了 。 。 。,那 是 ！ 小贱 最乖 了 ！,1
晕倒,我 扶 你 。,1
"我 买 了 个 新 衣服 , 穿 上 超级 像 孕妇 , 送给 你",切 ' 有 什么 了不起 的,1
啵,"我 买 了 一件 穿着 像 孕妇 的 衣服 , 送给 你",1
"必须 的 , 你 怎么 报答 我",当然 是 请 他 吃饭 看 电影 啊 ！,1
他 是 我 吗 ? 我 可是 个 女生 呢 。 你 给 我 个 照片 呗,没有 人 告诉 你 ， 你 像 个 爷们 么 ？,1
你 比 我 man,这是 必然 的,1
我 可不 喜欢 同性恋,为了 你 我会 聪明绝顶 的 ！,1
你 有 头发 吗 ? 长发 短发,没有 ， 但是 我 头套 很 结实 ！,1
我 爸爸 是 个 胖子 怎么 减肥,少 吃 东西 多种 树 ！,1
瘦子 怎么 增肥,执着 又 脆弱 的 人,1
小宝贝 。 。 快快 睡 。 。 香甜 的 梦 在 等 你 。 。 梦里 有 你 最 爱 的 人 和 最 爱 你 的 人 。 。 睡 吧 睡 吧 ~ ~,换 一首,1
苍茫 的 天涯 是 我 的 爱 ！,好 ， 我们 不 稀罕 他 。 至少 你 还有 我 呀 ? mua ?,1
不准 笑,呜呜   凭 什么 呀,1
"因为 你 是 一个 脱离 了 低级趣味 的 鸡 , 一只 纯粹 的 鸡",山东 临沂 ！,1
